11;0.21055655038
29;0.569633290592
50;0.990321776921
70;1.38985684982
91;1.81029850535
112;2.23032802183
133;2.6500697317
154;3.06991962798
175;3.49004984502
196;3.9102436362
216;4.30937392449
237;4.72969155653
258;5.14991517152
279;5.5699523547
301;6.01046449715
321;6.40953699468
342;6.8295079394
364;7.27048081573
385;7.68992902424
407;8.13008275034
428;8.55010818502
449;8.97038761722
470;9.38986429928
491;9.80957510932
513;10.2502336811
534;10.6700993265
556;11.1098463779
578;11.549838873
600;11.9903648705
622;12.4299056086
645;12.8900576705
668;13.3500167204
690;13.7894909644
713;14.2501638771
736;14.7103725952
760;15.1901294587
783;15.6502253789
807;16.1298026957
831;16.6104049036
855;17.089655485
881;17.6097798238
905;18.0897714071
932;18.6302576957
956;19.1103248287
979;19.5696461253
1004;20.0697531148
1028;20.5496519798
1053;21.0497382351
1078;21.549575694
1102;22.0296361033
1127;22.5298614077
1153;23.0499815307
1179;23.5695698899
1205;24.0901150678
1231;24.6101685475
1257;25.1297598927
1285;25.6898727964
1313;26.2500119348
1341;26.8103166886
1369;27.3698661948
1398;27.9500309967
